outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Kovan,Nguyen Ly,5,"One of the better Anytime Fitness in Singapore. Spacious and good vibe with people mainly just focused on working out.
There is sometimes a bit of a queue at the racks as there are only 2 of them,esp at peak hours.",3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSUN1a2ZINDN3RRAB
Anytime Fitness Kovan,Anotation,1,"Place is kind of falling apart, musky smell, leaky aitrcons that always break down.

Rusty equipments with grips that are shredded, just feels sad being here. It's a shame as the space is huge with lots of potential.",2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUR4eGNyY1hBEAE
Anytime Fitness Kovan,Michael G,3,"Nice and big but the staff is rude as they don’t acknowledge you or even say hi, just aim the temperature gun at your head and then walk away without saying a word as if you’re a farm animal. Sometimes they even take your workout equipment without asking if you’re using it. Unpleasant to come here. Well equipped though.",Edited 4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSUNzcHRQdTNRRRAB
Anytime Fitness Kovan,Samson Aow,5,One of the bigger gyms. Like that it’s convenient and the location is near carparks. The gym have sufficient machines and weights to use. It is very clean too. Enjoyed the facilitates here,3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSURHeDZLVXBBRRAB
Anytime Fitness Kovan,Jayden Teoh,5,"A very good, spacious gym in the north east area. I like the Zumba and yoga classes conducted by Aze & Pam. Staffs are friendly as well.",2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSURwcHBfbmVBEAE
Anytime Fitness Kovan,Jaren Foo,4,"Good location in Kovan, near mrt, supermarket and food places.

Good array of free weights and machines to suit all type of gym enthusiasts.",3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSURtN2ZXU3VnRRAB
Anytime Fitness Kovan,ZAIN UL ABDIN,1,worst management of anytime fitness kovan they treat there subscribers very bad and rudely cannot even solve little issues i would recommend everyone to choose other branches,11 months ago,December 2024,ChdDSUhNMG9nS0VJQ0FnSURQa1plRDl3RRAB
Anytime Fitness Kovan,Freddy Seah,5,Spacious and equipments adequate.  Friendly staff and trainers.,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUN5cmVDN2F3EAE
Anytime Fitness Kovan,Jewel Tan,1,Scam people money and bad service say will get back back 3 days been a month they will never let you cancel even tho you have doctor proof that there is a health issue that you couldn’t,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURYdDZtVEJ3EAE
Anytime Fitness Kovan,Adrian Lin,1,Some guy took off my 10kg plate while i was resting after i just loaded it on and then after that he reracked  a 5kg and a 10kg onto the machine i was using,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNsbDdDY2RBEAE
Anytime Fitness Kovan,Shaik Al-afiq,5,Very spacious and clean,2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2tOc1VrbG5ZamwzUVRCYWVWa3RRVmxtWVdWbFJIYxAB
Anytime Fitness Kovan,Shane Lim,5,It's spacious and clean,3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT214VmJVRmhXa2xRY0doUVYwMHplRzFRVDFKMVowRRAB
Anytime Fitness Kovan,Robert,1,"Talk about 24 hrs, came all the way to gym  this morning and people can’t even enter the gym. If the system is so unreliable then don’t call yourself ANYTIME",2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSURac3RMaXR3RRAB
Anytime Fitness Kovan,Shakerin,5,Location is good. The gym is big. Enough equipments and well maintained.,Edited 6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSUN3eV9MN2F3EAE
Anytime Fitness Kovan,Jermaine Wong,5,"One of the biggest Anytime Fitness outlets in Singapore, friendly staff and adequate equipments. Highly recommend",4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUQ2NmJQR0pnEAE
Anytime Fitness Kovan,RC,4,"Very spacious and good location, even hire FT fitness trainer",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUMxd3F2TGVBEAE
Anytime Fitness Kovan,Hirantha Neranjan,5,"Spacious, decent range of equipment and well maintained. However as usual can be quite crowded",4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUR5eFBIN0JBEAE
Anytime Fitness Kovan,Edwin Kiew,5,Supposedly one of the largest AF branches in Singapore. Clean and spacious,Edited 5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSUNDNUo2d2FnEAE
Anytime Fitness Kovan,jerome sim,1,I will never complain about the other Anytime gyms after going to this one,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSURCOTkyRTlBRRAB
Anytime Fitness Kovan,Tom Joe,4,"Good location, less then 10 minutes
Walking distance to Kovan MRT station.",Edited 6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSUNRa2I3dW1BRRAB
Anytime Fitness Kovan,Siang Wei,1,Anytime fitness that’s not 24 hours. Didn’t bother to update new timing which is not even open 12 hours a day,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUNCczZHOHpBRRAB
Anytime Fitness Kovan,Salleh HAMID,5,Great place to enjoy your workout with friendly staff. Vending machine for your workout essentials.,7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSUNnd1BQTXZBRRAB
Anytime Fitness Kovan,daniel k,5,I feel relaxed when I’m in this gym. A little haven from my stressful day.,3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSUMyaHVUal9RRRAB
Anytime Fitness Kovan,rasied mohd,5,"Love the gym, space especially the staff! Congrats 1 yr old.....",7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSURnX1lfM0tnEAE
Anytime Fitness Kovan,Mohammad Hatta,4,"Friendly and helpful staff! Huda, the manager  is very bubbly and approachable.",6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSUNZOUpteUVnEAE
Anytime Fitness Kovan,Johnathan Wong,2,not very clean and quite old equipment.,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUN4eHJ1c2RnEAE
Anytime Fitness Kovan,Xavier Tan,1,garbage equipment condition and overly strict rules,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURMOTVuZ2RnEAE
Anytime Fitness Kovan,Joseph Yu (Seph),5,Second largest AF gym in SG i believe,6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSUQwbVpXeWdnRRAB
Anytime Fitness Kovan,Mav,5,Very well furnished!,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURWcTdla1pnEAE
Anytime Fitness Kovan,G Surin,5,great gym,6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSUQwdXUyV01BEAE
Anytime Fitness Kovan,Bane Mohd,5,Who don't love Anytime Fitness Kovan??????,7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSUNRMU1UaGhRRRAB
Anytime Fitness Kovan,Roland Soh,2,Old equipments.,10 months ago,January 2025,ChdDSUhNMG9nS0VJQ0FnSURmNk9fWnFnRRAB
Anytime Fitness Kovan,M,5,Good,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSURDX2NHVzFRRRAB
Anytime Fitness Kovan,Tiffany Avi,4,Great place to train!,Edited 3 years ago,November 2022,ChZDSUhNMG9nS0VJQ0FnSURvXzZyb0VnEAE
Anytime Fitness Kovan,Herddie Norman,5,Clearly one of the best,6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSUQwc1p2T2N3EAE
Anytime Fitness Kovan,Zamri Rasheed,5,Great place for gym,3 years ago,November 2022,ChZDSUhNMG9nS0VJQ0FnSUNXeEt5a1hnEAE
Anytime Fitness Kovan,yong xun,1,Rude staff,3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSUNlLXNLSS1RRRAB
Anytime Fitness Kovan,Ram Alisam,5,Good,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUNBc2ZHOVJBEAE
Anytime Fitness Kovan,Takeuchi Yasushi,5,,7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSUNJb3VlM253RRAB
Anytime Fitness Kovan,Fara Ahlysha,5,,3 years ago,November 2022,ChZDSUhNMG9nS0VJQ0FnSURHbm9LMVF3EAE
Anytime Fitness Kovan,Jerome Ong,5,,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSURpMkxqT1FnEAE
Anytime Fitness Kovan,Liang James,1,,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNya05xTlpBEAE
Anytime Fitness Kovan,William Quah,3,,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUROc2FPblJ3EAE
Anytime Fitness Kovan,Matthew Ng,5,,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUROanEtbmdBRRAB
Anytime Fitness Kovan,Ed Chong,5,,Edited a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURWdElTbVZREAE
Anytime Fitness Kovan,Dinesh kumar,5,,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUN4em9LNm1RRRAB
Anytime Fitness Kovan,Eric Nguan,3,,3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSURPNW9Uc3F3RRAB
Anytime Fitness Kovan,Prasad Parab,5,,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUNhMEpqcVhREAE
Anytime Fitness Kovan,类私理Lesly,5,,Edited 4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSURTNHZTNy1nRRAB
Anytime Fitness Kovan,KING HAPPY,5,,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSURxN3BQdk9BEAE
Anytime Fitness Kovan,Adam Ng,4,,4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSUNLNU9LUzhnRRAB
Anytime Fitness Kovan,David Chou,5,,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSURTczhPaUpREAE
Anytime Fitness Kovan,Rafael Tan,4,,4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSURTeFoyTmhRRRAB
Anytime Fitness Kovan,Winson,5,,4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSURTaWRHTDNBRRAB
Anytime Fitness Kovan,Brandan Koh,5,,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSURTMG8tTERBEAE
Anytime Fitness Kovan,Suf Iyan,5,,4 years ago,November 2021,ChRDSUhNMG9nS0VJQ0FnSUNTeUxzOBAB
Anytime Fitness Kovan,Anas Shaikh,4,,4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSURpb2E2ZDZBRRAB
Anytime Fitness Kovan,Wen Jie Coby Lim,4,,4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSURpM3FXVDJ3RRAB
Anytime Fitness Kovan,Syed Usman,5,,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSURpNUpXU1BnEAE
Anytime Fitness Kovan,Ajay Subramanian,5,,5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSUNpd2NuU1VBEAE
Anytime Fitness Kovan,Lak,4,,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSUNpOXJ6dHpnRRAB
Anytime Fitness Kovan,Dr. Hari Yuvaraj,1,,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSUNpNnFhQ2xRRRAB
Anytime Fitness Kovan,Dev anand,4,,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSURDMlpYcGlRRRAB
Anytime Fitness Kovan,Durga Patil,5,,5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSURDOHJHQ0lBEAE
Anytime Fitness Kovan,thye siong Lee,1,,5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSUNDc19tN1h3EAE
Anytime Fitness Kovan,Varun Chakravarty,4,,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSUM4cTdIVC13RRAB
Anytime Fitness Kovan,Harris Sengol,5,,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSUNjMF9mQnNBRRAB
Anytime Fitness Kovan,Geeta S. Pandey,5,,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSUNza2J1cjNBRRAB
Anytime Fitness Kovan,Raúl A.T.,4,,6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSUQwM3FDdnpRRRAB
Anytime Fitness Kovan,Pukalandhi Dhandapani,4,,6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSUMwaVBpd3RRRRAB
Anytime Fitness Kovan,shilah rocher,5,,6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSURvczdxbjJ3RRAB
Anytime Fitness Kovan,joseph eapen,4,,7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSUR3a0p1NTlnRRAB
Anytime Fitness Kovan,Cyril Mans,5,,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUR3aXN2OGZREAE
Anytime Fitness Kovan,Isaac Sem,5,,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUNBMU5lSGNnEAE
Anytime Fitness Kovan,Ang Jun Jie,5,,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUNndWFua0VnEAE
Anytime Fitness Kovan,尹溪雅,5,,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUNnck55d2NBEAE
Anytime Fitness Kovan,yang kangjie roy,5,,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUNnb1ltbmFBEAE
Anytime Fitness Kovan,J Tan,5,,7 years ago,November 2018,ChZDSUhNMG9nS0VJQ0FnSUNnbWRtd0RBEAE
Anytime Fitness Kovan,Bunny Choong,5,,7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSURRaHJfZ2dBRRAB
