outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Choa Chu Kang Centre,chen rui ying,1,"Not happy with this place at all. Signing up was easy, but cancelling was such a hassle. They said I had to email them after my contract ended, and if they didn’t get the email, I’d have to keep paying. On top of that, I had to give one month’s notice before cancelling. Why make it so hard?

The gym costs $90++ per month, but the service is terrible. The staff are very unprofessional. The way they talk to customers makes me wonder if they have any proper training at all.

Honestly, this place is not worth the money or the trouble.",9 months ago,February 2025,ChdDSUhNMG9nS0VJQ0FnTUNBcmZDS29BRRAB
Anytime Fitness Choa Chu Kang Centre,黄文忠,1,"Worst gym experience ever. I went to check out the place before signing up, and the staff barely paid attention to me. They seemed uninterested and acted like they were doing me a favour by answering my questions. That should have been my first red flag.

I still decided to join, thinking maybe the facilities would make up for it. Big mistake. The equipment is always occupied, and some machines are either broken or not well-maintained. The worst part? The cancellation process. It’s not straightforward at all. You have to email them after your contract ends, and if anything goes wrong, you’re charged again. Plus, they require one month’s notice. It just feels like they’re making it as difficult as possible to leave.

At almost $100 per month, I expected way better. The staff are unprofessional, the gym is overcrowded, and the whole experience is just frustrating. Definitely not worth it.",9 months ago,February 2025,ChdDSUhNMG9nS0VJQ0FnTUNBcmRUWXNRRRAB
Anytime Fitness Choa Chu Kang Centre,Romee TuTu,1,"While registration is easy, cancelling the membership is a nightmare. They require members to send an email after the expiry date, which is unnecessarily troublesome. If they don’t receive the email (or claim not to), you’re automatically charged for another month—$99, no less! They also have a ridiculous 30-day notice period for cancellations. Why make it so hard for members to leave?

For a gym charging this much, the service should at least be decent. Instead, the staff are unprofessional, as seen in other Google reviews where someone was body-shamed. This is unacceptable. If I wanted to donate money, I’d give it to charity, not to a gym that lacks basic accountability.

Avoid this place unless you enjoy unnecessary fees and poor service.",9 months ago,February 2025,ChZDSUhNMG9nS0VJQ0FnTUNBemUzT1BBEAE
Anytime Fitness Choa Chu Kang Centre,AI LENG WONG,4,"Friendly staff ! The experience would be even better with a shower, toilet, or changing room inside the gym. It would make stopping by after work much more convenient. Changing in the common toilet was quite uncomfortable—the wet floor made it difficult to dress and put on shoes. Hope this can be improved!",8 months ago,March 2025,ChdDSUhNMG9nS0VJQ0FnTUNnLWV5VnNnRRAB
Anytime Fitness Choa Chu Kang Centre,Katharine Ng,4,"Wonderful experience with the friendly and attentive staff, as well as the diverse range of group classes offered. The variety truly keeps things exciting and engaging! However, there isn't any changing rooms and shower facilities.",7 months ago,April 2025,ChZDSUhNMG9nS0VJQ0FnTURReTZ6UFRREAE
Anytime Fitness Choa Chu Kang Centre,Rebekah Wong,5,"Big and spacious gym, team is quick to problem-solve and equipment are in very good condition!",2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT2t0SFNYWm1hV3hGTFRBMlJESkdaVVZUUm5WM1RXYxAB
Anytime Fitness Choa Chu Kang Centre,Jas,1,"Equipment poorly maintained, have left multiple reviews but very slow action from management.

Extremely rude staff, especially the malay guy Faris who tended to me. Only seems to be concerned with signing new members but not open to feedback.

Many friends have left the gym and went to better alternatives nearby. Will likely do the same once my contract is up.",10 months ago,January 2025,ChdDSUhNMG9nS0VJQ0FnSUR2bHMyX2hBRRAB
Anytime Fitness Choa Chu Kang Centre,CY Kang,1,"Experienced an unpleasant moment. One of your staff approached me claiming that I called my friend ""FAT"" at the entrance which indirectly displays to the visitors that the gym has a bad environment that allows the members to address others as FAT. I truly appreciate his professionalism in his work and effort in forbidding body shaming culture in the gym, however, I had explained to the staff that the word coming out of my mouth was ""FEB"" (abbreviation for February) as my friend and I were discussing when were we signed up for the gym, he mentioned it was in MARCH or APRIL and I replied to him ""FEB"" at the entrance. Unfortunately, your staff felt I was being sarcastic and claimed that I was insulting his intelligence. Even though, he said he was not accusing me of anything and just wanted to clarify that the gym doesn't encourage such culture calling others FAT in the gym I had made my stand very clear that I didn't speak any word of FAT and I don't appreciate the way he keep repeating this to me which I had already explained over and over again. Most importantly, the staff is not apologetic at all about his accusations and put a sour face throughout our conversation.

I had paid good money for the use of the club, what I get is this shoddy treatment from your staff.

Further to this, I had emailed on Jan to enquiry on the cancellation after the minimum term. Gotten reply from the assistant manager stated to approach them after my minimum term instead of reminding that there are 30 days of notice period. Luckily this incident happened and I decided to cancel immediately after the min term and it only extend extra two days.

Gym is small with limited equipment, and there are group of customers would hog the equipment for hours, filming video of their lifts and others wouldn't have the chance to share the equipment. There is no control from the staff.

All in all, please avoid this branch and wouldn't recommend this club to others.",a year ago,November 2024,ChRDSUhNMG9nS0VJQ0FnSUNOdzRwQRAB
Anytime Fitness Choa Chu Kang Centre,Barani Kumar,5,This gym is easily accessible being situated near the mrt station and bus interchange. The staff are friendly and attentive. The gym is of a relatively good size and the equipment is well spaced-out and extremely clean. My trainer Jay is extremely professional and has helped to navigate my workouts carefully considering my knee issues. I highly recommend this gym.,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUNacTQ2QThBRRAB
Anytime Fitness Choa Chu Kang Centre,Tino Teo,5,"Having been a member at AF CCKC for several months, I can confidently say it's been a fantastic experience. The facility is always clean, well-maintained, and offers a wide array of high-quality equipment. What truly sets it apart, though, is the strong sense of community. The friendly staff and diverse range of classes create an environment that motivates me to excel in my fitness journey. I wholeheartedly recommend it to anyone seeking a supportive and effective fitness experience.",2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSURaenRxbVJ3EAE
Anytime Fitness Choa Chu Kang Centre,Santhiya Navin,1,"Bad customer service. Will only be friendly and cooperative till the sign up is confirmed and the terms and conditions have been signed. After which they are rude, pushes blames on customers, and force decision which are favourable to them even if customer isn't able to commit due to medical or really hard financial difficulty. Will never choose AF again and will not recommend to sign up.",11 months ago,December 2024,ChdDSUhNMG9nS0VJQ0FnSUN2cVlhNHZnRRAB
Anytime Fitness Choa Chu Kang Centre,ian lee,5,"The gym seems to have fixed its ventilation issues and is no longer as warm as a month or two ago. There is ample equipment and the waiting time for each machine is bearable. It is also located nearby the bus terminal and train station so it is easily accessible. My fitness trainer, Jay, is a competent and helpful guy and is also the main reason as to why I frequent this outlet.",2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUNaeTduelV3EAE
Anytime Fitness Choa Chu Kang Centre,Fadly Hamzah,4,"Good equipments, space and very clean. Unfortunately no shower facilities.",5 months ago,June 2025,ChZDSUhNMG9nS0VNYXVtOXFZd1lydWVREAE
Anytime Fitness Choa Chu Kang Centre,Dinesh Pandian,5,This gym is spacious and The staff here are friendly. Nice to be greeted by ya name when u enter or smile. It makes a difference from my opinion. My personal trainer Jay is extremely knowledgeable and does what is needed ro make the client feel the difference in the training and body condition.,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUNaeS1EcVpnEAE
Anytime Fitness Choa Chu Kang Centre,Goh Lai Chieng,5,"Very friendly staff and encouraging personal trainers Joshua! He will explain well and patiently about how to use the equipment in correct way, no worries for the first timer! Have few training session with him and i see good result already. Great gym for a workout with the various exercise machines & workout classes.",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUREMUtYeE93EAE
Anytime Fitness Choa Chu Kang Centre,Spiky Lee,5,"Really good selection of equipment. Good atmosphere, good amount of space, great layout. Very helpful gym-goers, who won't hesitate to help. Very close to CCK MRT

Faris and Amy assisted my friend with a new membership, and the subsequent referral bonus.

+1 will continue to frequent this gym",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURObThtNll3EAE
Anytime Fitness Choa Chu Kang Centre,Carmen Chua Ann Kee,5,Top 3 of the AF gyms that I enjoys with the positive vibe from Faris & Dafina when we step into the gym & the group class are excellent with bunch of lovely gymmates ^^ Highly recommended to join them 😀 …,7 months ago,April 2025,ChZDSUhNMG9nS0VJQ0FnTURReTlleEhBEAE
