outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Bukit Timah,Ang Justinian,5,"Great place and staff, thank you David and Hyeon. Much thanks.",2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUR4d0lPZzd3RRAB
Anytime Fitness Bukit Timah,Ed Tan,1,The club automatically renews your membership despite writing in to inform them to cancel at the end of my contract. Refused to refund the money.,5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSUQ4cWJyUmZnEAE
Anytime Fitness Bukit Timah,TT YL,5,Always thought it was a great gym but it took the pandemic for me to realize it is the best AF gym in Singapore.,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUNTNHVqZk1BEAE
Anytime Fitness Bukit Timah,Brandon Lee,1,Equipment in this gym is worse than activesg in a community club lol extremely rusty and dirty,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSURCem92NUJBEAE
Anytime Fitness Bukit Timah,geoffrey liu,5,David and Syahmi were attentive and friendly and clearly explained the details and conditions of the contract and promos,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUR4enQ3QnVRRRAB
Anytime Fitness Bukit Timah,Daniel Thumboo,5,"The community is fantastic, ample space, has a wide variety of equipment",Edited a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURCNU5TVkpBEAE
Anytime Fitness Bukit Timah,Spencer Paw,3,"Smells vaguely but constantly like someone's BO. Alright otherwise, the washrooms are clean",2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUQ1Z0pfS2dRRRAB
Anytime Fitness Bukit Timah,Chan,1,"Make sure you have a tetanus jab before you come here. Water cooler is down, bring your own water",Edited 3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSUNleFluZjVnRRAB
Anytime Fitness Bukit Timah,De Kai Toh,1,should be reflected by on google that the it’s closed for business,7 months ago,April 2025,ChZDSUhNMG9nS0VJQ0FnTUN3b2JXZ2RBEAE
Anytime Fitness Bukit Timah,Krishna Vamsi,4,Very large gym with a room for separate activities but very crowded during peak hours. (Extremely),8 years ago,November 2017,ChZDSUhNMG9nS0VJQ0FnSUNRbkxHcGVREAE
Anytime Fitness Bukit Timah,Cymon Mah,5,Run by elder emos 10/10 playlist will recommend,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUQ3cnF1Q3RnRRAB
Anytime Fitness Bukit Timah,Kerry Tran,5,Good gym and well equipped. Spacious toilet,5 years ago,November 2020,ChdDSUhNMG9nS0VJQ0FnSUNzMVo2bWxnRRAB
Anytime Fitness Bukit Timah,Tidus T,1,Umm need to improve the ventilation of the gym.. very very sweaty salty smell.,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSURodGIzTGl3RRAB
Anytime Fitness Bukit Timah,Danny Izann,4,Definitely one of the bigger outlets and equipment is well maintained 👍 …,6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSURVMzRYUFV3EAE
Anytime Fitness Bukit Timah,g shrinivas,4,Great facility but usually quite crowded during evenings. One has to wait or share the benches,7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSURRczZmNzl3RRAB
Anytime Fitness Bukit Timah,Ruey Xuan Lee,5,"Has enough equipment for everyone to share, unlike some other places which can get crowded sometimes.",6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSURVaV9IbnNBRRAB
Anytime Fitness Bukit Timah,Jan Rothkegel,1,This place looks like it hasn’t been renovated and cleaned since 1970,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNseWJqWHJ3RRAB
Anytime Fitness Bukit Timah,Michael Kuah,5,Easy sign up experience!,8 months ago,March 2025,ChdDSUhNMG9nS0VJQ0FnTUNRb0k2cnBBRRAB
Anytime Fitness Bukit Timah,Darin Phanthong,3,Hello .i first day come . I do know why can not go in side gym . Me first today .,5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSUNNdFpUNU1BEAE
Anytime Fitness Bukit Timah,Nick Maxwell,5,The stuffs are nice and good enviroment,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURyb291ZmxnRRAB
Anytime Fitness Bukit Timah,tôm hoàng,1,"Here dont have punching bag.
I go jurong east.",6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSUNVOFB6QjNBRRAB
Anytime Fitness Bukit Timah,Julian Ang,5,Love this gym and how well it's equipped,6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSURJLUlxeVFnEAE
Anytime Fitness Bukit Timah,Kenneth,5,Cozy little gym that's open 24-7,8 years ago,November 2017,ChdDSUhNMG9nS0VJQ0FnSURncktpWXNnRRAB
Anytime Fitness Bukit Timah,Aizuddin Ahmad,5,Another place where i love to workout..huge gym,Edited 8 years ago,November 2017,ChZDSUhNMG9nS0VJQ0FnSUNRX1pQREJ3EAE
Anytime Fitness Bukit Timah,Jeremy Goh,5,Gym with great facilities!,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURIM3RtOFJBEAE
Anytime Fitness Bukit Timah,Ng Tze xuan,5,Best staff and friendly atmosphere,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUNKZ29qdkd3EAE
Anytime Fitness Bukit Timah,JH Luah,1,Rusty equipment and lack of cleanliness,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUMxOHB5c093EAE
Anytime Fitness Bukit Timah,Fdkngz,5,amazing,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURyb3ZQeDN3RRAB
Anytime Fitness Bukit Timah,Deborah Lee,5,Great service!,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURiNGNIaGFnEAE
Anytime Fitness Bukit Timah,JK,5,Great club!,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURyME9tQ1h3EAE
Anytime Fitness Bukit Timah,Chia Wen Xuan,5,Good,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURyc01QdlRBEAE
Anytime Fitness Bukit Timah,zen,5,quick and easy,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNuakt5aWdRRRAB
Anytime Fitness Bukit Timah,Nicho Arvin,5,Friendly environment,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURyb3RPS3lRRRAB
Anytime Fitness Bukit Timah,Diego Salgado,5,Perfect gym.,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSURwajQ3U3N3RRAB
Anytime Fitness Bukit Timah,Tan Yong Heng,1,Songs with offensive lyrics playing in the gym . Is this under IMDA purview?,a week ago,November 2025,Ci9DQUlRQUNvZENodHljRjlvT2poS1UzUkdNRlYzZVU1MlQzUXhiRzVvV25KVlFYYxAB
Anytime Fitness Bukit Timah,Bear Melon,3,"Location 4 (Beauty World MRT 2 min)
Clean 3
Space 4
Machine Variation 4 (hammer strength .Life Fitness)
Free weight 3 racks
Maintenance 1

Good for legs, shoulder arms

The showers and toilets have been renovated, but the HM machines are quite old and all rusty.",Edited 4 years ago,November 2021,ChdDSUhNMG9nS0VJQ0FnSURTbTc3cnVRRRAB
Anytime Fitness Bukit Timah,Lisa Lisa,5,Very good service.,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNyN2NtV2tRRRAB
