name,place_id,address,rating,user_ratings_total,maps_url
Anytime Fitness Holland Village,ChIJOUQpUCgb2jEROLeYI28anBo,"31A Lor Mambong, Singapore",4.4,152,https://www.google.com/maps/place/?q=place_id:ChIJOUQpUCgb2jEROLeYI28anBo
Anytime Fitness Rochester,ChIJsQZDUlYb2jER9Tl-jz0xodA,"41 Rochester Dr, Singapore",4.8,38,https://www.google.com/maps/place/?q=place_id:ChIJsQZDUlYb2jER9Tl-jz0xodA
Anytime Fitness Orchard,ChIJc7mnJ00Z2jERLLHq2lX62iI,"277 Orchard Rd, #04-01 Orchard, Singapore",4.7,909,https://www.google.com/maps/place/?q=place_id:ChIJc7mnJ00Z2jERLLHq2lX62iI
Anytime Fitness Wheelock Place,ChIJ6Q4X_wsZ2jERV-VwtNekUP8,"501 Orchard Rd, #05-13/14, Singapore",4.8,204,https://www.google.com/maps/place/?q=place_id:ChIJ6Q4X_wsZ2jERV-VwtNekUP8
Anytime Fitness Cineleisure Orchard,ChIJAdk-GAAZ2jER_ZX6xLw3nU4,"8 Grange Rd, #02-01, Singapore",4.7,63,https://www.google.com/maps/place/?q=place_id:ChIJAdk-GAAZ2jER_ZX6xLw3nU4
Anytime Fitness Balmoral,ChIJKc_F7UIZ2jERNL33prV3aC0,"32 Stevens Rd, #02-01 Above Pine Club Mercure Hotel at Stevens, Singapore",4.6,85,https://www.google.com/maps/place/?q=place_id:ChIJKc_F7UIZ2jERNL33prV3aC0
Anytime Fitness Jalan Besar,ChIJq6pa2rcZ2jERPyIiRMpVMCM,"Rehau Building 1, 01-00 King George's Ave",4.1,131,https://www.google.com/maps/place/?q=place_id:ChIJq6pa2rcZ2jERPyIiRMpVMCM
Anytime Fitness Bugis,ChIJbYoKje4Z2jERjijPuh_1TSs,"51 Middle Rd, #03-01, #04-01, Singapore",4.7,957,https://www.google.com/maps/place/?q=place_id:ChIJbYoKje4Z2jERjijPuh_1TSs
Anytime Fitness Tekka Place,ChIJwZLNS8IZ2jER0Fqut4yLW4c,"2 Serangoon Rd, #02-17/18/19/20/21, Singapore",4.9,123,https://www.google.com/maps/place/?q=place_id:ChIJwZLNS8IZ2jER0Fqut4yLW4c
Anytime Fitness The Concourse,ChIJc5j1TSoZ2jERwrIW2kMTf0E,"300 Beach Rd, #02-01A/02, Singapore",3.3,21,https://www.google.com/maps/place/?q=place_id:ChIJc5j1TSoZ2jERwrIW2kMTf0E
Anytime Fitness City Square Mall,ChIJDzz1mk8Z2jER9spstsimgQE,"180 Kitchener Road, Mall, #06-04 City Square",4.9,1051,https://www.google.com/maps/place/?q=place_id:ChIJDzz1mk8Z2jER9spstsimgQE
Anytime Fitness Boon Keng,ChIJ-VL1F6QZ2jERVxrfNWnBbSI,"294A Lavender St., Singapore",4.5,177,https://www.google.com/maps/place/?q=place_id:ChIJ-VL1F6QZ2jERVxrfNWnBbSI
Anytime Fitness Geylang Central,ChIJnVMLxmEZ2jERvo6VBEudLvU,"301 Geylang Rd, #04-01, Singapore",4.7,143,https://www.google.com/maps/place/?q=place_id:ChIJnVMLxmEZ2jERvo6VBEudLvU
Anytime Fitness Guillemard,ChIJDTtkOyEZ2jERzbT8et10GQA,"100 Guillemard Rd, #01-08, Singapore",3.6,17,https://www.google.com/maps/place/?q=place_id:ChIJDTtkOyEZ2jERzbT8et10GQA
Anytime Fitness Paya Lebar,ChIJUa4-4xYY2jERzTkowOfjaQI,"11 Tanjong Katong Rd, #02 - 01 / 02, KINEX",3.7,139,https://www.google.com/maps/place/?q=place_id:ChIJUa4-4xYY2jERzTkowOfjaQI
Anytime Fitness Mountbatten,ChIJzUtferEZ2jERe-MaAPWu5Mg,"372 Tanjong Katong Rd, Singapore",4.6,72,https://www.google.com/maps/place/?q=place_id:ChIJzUtferEZ2jERe-MaAPWu5Mg
Anytime Fitness Geylang,ChIJufm6fH8Z2jERH-pvx6ie-Kg,"653 Geylang Rd, Singapore",4.6,39,https://www.google.com/maps/place/?q=place_id:ChIJufm6fH8Z2jERH-pvx6ie-Kg
Anytime Fitness Joo Chiat,ChIJEx0HBjgZ2jERnnFmv27x_VU,"Joo Chiat Rd, #123/125 125A, Singapore",5.0,1,https://www.google.com/maps/place/?q=place_id:ChIJEx0HBjgZ2jERnnFmv27x_VU
Anytime Fitness Dakota,ChIJK1tb9vEZ2jER37LgRM8rEF8,"87 Jln. Satu, #02-01 Mountbatten CC, Singapore",5.0,9,https://www.google.com/maps/place/?q=place_id:ChIJK1tb9vEZ2jER37LgRM8rEF8
Anytime Fitness Katong,ChIJZVo7hvgZ2jERgOU8_dqMc8s,"174/176 E Coast Rd, Singapore",4.8,243,https://www.google.com/maps/place/?q=place_id:ChIJZVo7hvgZ2jERgOU8_dqMc8s
Anytime Fitness Marine Parade Central,ChIJOftAa3EY2jERVZ8PMef4Lvc,"86 Marine Parade Central, #01-670, Singapore",4.5,151,https://www.google.com/maps/place/?q=place_id:ChIJOftAa3EY2jERVZ8PMef4Lvc
Anytime Fitness D'Arena Jurong,ChIJsbnFq6wP2jEROSzyyxLMqPo,"511 Upper Jurong Rd, #02-05 Anytime Fitness D'Arena, Singapore",4.9,203,https://www.google.com/maps/place/?q=place_id:ChIJsbnFq6wP2jEROSzyyxLMqPo
Anytime Fitness,ChIJH3pqAusP2jERgTI43GHWDD8,"1 Yung Sheng Rd, #01-02 Taman Jurong Community Club, Singapore",4.5,150,https://www.google.com/maps/place/?q=place_id:ChIJH3pqAusP2jERgTI43GHWDD8
Anytime Fitness Jurong Summit,ChIJdwM8xlcR2jERxBruxYXMwK0,"8 Jurong Town Hall Rd, #02-02 The JTC Summit, Singapore",4.9,375,https://www.google.com/maps/place/?q=place_id:ChIJdwM8xlcR2jERxBruxYXMwK0
Anytime Fitness Jurong East Central,ChIJM8FF1ZAR2jERuDhsvx_JALo,"134 Jurong Gateway Rd, #01-311, Singapore",3.9,249,https://www.google.com/maps/place/?q=place_id:ChIJM8FF1ZAR2jERuDhsvx_JALo
Anytime Fitness Bukit Timah Central,ChIJU5AB6_sb2jERZXpNUjEz7Fk,"559 Bukit Timah Rd, #B1-01 King’s Arcade, Singapore",4.9,960,https://www.google.com/maps/place/?q=place_id:ChIJU5AB6_sb2jERZXpNUjEz7Fk
Anytime Fitness Stevens,ChIJCfLhS5MZ2jERa_MVstlFftI,"383 Bukit Timah Rd, #01-01 01-01, Singapore",4.4,68,https://www.google.com/maps/place/?q=place_id:ChIJCfLhS5MZ2jERa_MVstlFftI
Anytime Fitness Novena,ChIJaWo3fhMZ2jERIsUppf1g-TI,"101 Thomson Road United Square, B1-15 @United Square",4.4,121,https://www.google.com/maps/place/?q=place_id:ChIJaWo3fhMZ2jERIsUppf1g-TI
Anytime Fitness Viio@Balestier,ChIJddG7Bw4X2jER5BUSyufJrfc,"520 Balestier Rd, #03-01 to #03-04, Singapore",4.6,116,https://www.google.com/maps/place/?q=place_id:ChIJddG7Bw4X2jER5BUSyufJrfc
Anytime Fitness Toa Payoh,ChIJl4s9zmYX2jERFtUlClUSEuU,"190 Lor 6 Toa Payoh, #02-516 Above KFC, Singapore",4.5,403,https://www.google.com/maps/place/?q=place_id:ChIJl4s9zmYX2jERFtUlClUSEuU
Anytime Fitness Balestier,ChIJe-H0ctkZ2jERxVHwogp2cCI,"288 Balestier Road Balestier, Central",4.4,99,https://www.google.com/maps/place/?q=place_id:ChIJe-H0ctkZ2jERxVHwogp2cCI
Anytime Fitness Potong Pasir,ChIJR5DYt4EX2jEREdWVLSHw3LQ,"15 Tai Thong Cres, Sennett Estate, Singapore",4.5,226,https://www.google.com/maps/place/?q=place_id:ChIJR5DYt4EX2jEREdWVLSHw3LQ
Anytime Fitness Geylang Bahru,ChIJ55f_1-MZ2jERDdFv98M5yfc,"1 Geylang Bahru Ln, #01-03 Kolam Ayer Community Club, Singapore",4.9,473,https://www.google.com/maps/place/?q=place_id:ChIJ55f_1-MZ2jERDdFv98M5yfc
Anytime Fitness MacPherson,ChIJcQAK0CYY2jERptwI74yZ38c,"400 Paya Lebar Way, #03-05/06 MacPherson Community Club, Singapore",4.0,98,https://www.google.com/maps/place/?q=place_id:ChIJcQAK0CYY2jERptwI74yZ38c
Anytime Fitness MacPherson Mall,ChIJX41bNAAX2jER8L9rlgPDC7E,"401 MacPherson Rd, B1-01 MacPherson Mall, Singapore",5.0,126,https://www.google.com/maps/place/?q=place_id:ChIJX41bNAAX2jER8L9rlgPDC7E
Anytime Fitness Kaki Bukit,ChIJ1bM2MAAX2jERYZPO99jW7Ak,"1 Kaki Bukit Rd 1, #01-10 Enterprise One, Singapore",4.7,20,https://www.google.com/maps/place/?q=place_id:ChIJ1bM2MAAX2jERYZPO99jW7Ak
Anytime Fitness Grantral Complex,ChIJyVClQaYX2jERddH9OT_3rhU,"605 MacPherson Road, #02-08, Grantral Mall, Grantral Complex",4.3,197,https://www.google.com/maps/place/?q=place_id:ChIJyVClQaYX2jERddH9OT_3rhU
Anytime Fitness Aljunied 119,ChIJmYp_OJYZ2jERUGhy6J0wvgQ,"119 Aljunied Ave 2, #01-80/82/84, Singapore",4.0,80,https://www.google.com/maps/place/?q=place_id:ChIJmYp_OJYZ2jERUGhy6J0wvgQ
Anytime Fitness Kembangan,ChIJRZIfUgYY2jERMMv0CFGKtCk,"18 Jln Masjid, unit 01-04, B1-06, Singapore",4.0,84,https://www.google.com/maps/place/?q=place_id:ChIJRZIfUgYY2jERMMv0CFGKtCk
Anytime Fitness Chai Chee,ChIJeVNjXUgj2jERmR0uuF6kPHE,"750B Chai Chee Rd, #02-01A ESR Biz Park, Singapore",4.8,558,https://www.google.com/maps/place/?q=place_id:ChIJeVNjXUgj2jERmR0uuF6kPHE
Anytime Fitness 537 Bedok North,ChIJc7BgBKg92jERhNEATg84Hl4,"Blk 537 Bedok North Street 3, #01-555, Singapore",4.8,83,https://www.google.com/maps/place/?q=place_id:ChIJc7BgBKg92jERhNEATg84Hl4
Anytime Fitness Bedok 85,ChIJa71bPCI92jERWtJc9IYBGUo,"Blk 88 Bedok North Street 4, #01-163, Singapore",4.9,1047,https://www.google.com/maps/place/?q=place_id:ChIJa71bPCI92jERWtJc9IYBGUo
Anytime Fitness Bedok Central,ChIJ2X09z0w92jERl_SgquDFLW8,"445 Bedok North Street 1, #03-01 Djitsun Mall, Singapore",4.3,224,https://www.google.com/maps/place/?q=place_id:ChIJ2X09z0w92jERl_SgquDFLW8
Anytime Fitness Bedok 200 North Ave 1,ChIJq1pQJwA92jERQPwlQsdd0TI,"200 Bedok North Ave 1, Singapore",4.2,6,https://www.google.com/maps/place/?q=place_id:ChIJq1pQJwA92jERQPwlQsdd0TI
Anytime Fitness,ChIJNep_P5wj2jERNRmkHtTgTns,"850 New Upper Changi Rd, #02-22 Bedok Community Centre, Singapore",4.5,87,https://www.google.com/maps/place/?q=place_id:ChIJNep_P5wj2jERNRmkHtTgTns
Anytime Fitness Simpang Bedok,ChIJQeleU6k92jERy3bYpOJ456U,"430 Upper Changi Rd, #01-47/48/49, Singapore",5.0,58,https://www.google.com/maps/place/?q=place_id:ChIJQeleU6k92jERy3bYpOJ456U
Anytime Fitness Eastwood Centre,ChIJLfSfQY0j2jERGRojlA8NbXk,"20 Eastwood Rd, #01-03 Eastwood Centre, Singapore",4.9,70,https://www.google.com/maps/place/?q=place_id:ChIJLfSfQY0j2jERGRojlA8NbXk
Anytime Fitness Changi,ChIJvytALvc92jERoTouSnFv5Ws,"5 Changi Business Park Central 1, #02-01, Singapore",4.8,95,https://www.google.com/maps/place/?q=place_id:ChIJvytALvc92jERoTouSnFv5Ws
Anytime Fitness Siglap CC,ChIJnzYztVIj2jERRYo2FvO9_j0,"151 Bedok S Rd, #02-11 Siglap Community Centre, Singapore",4.7,98,https://www.google.com/maps/place/?q=place_id:ChIJnzYztVIj2jERRYo2FvO9_j0
