outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Buona Vista,Koh Jerry,5,Lovely staff and gym,3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSUMtbU5hcjV3RRAB
Anytime Fitness Buona Vista,Mike Lim,5,Good place to workout,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNuNHY2WTRRRRAB
Anytime Fitness Buona Vista,Ralph Mallari,5,What’s Nigel @,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURUd3MycDhnRRAB
Anytime Fitness Buona Vista,Dominic Choo,5,Nice,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUREMTQ3VDNBRRAB
Anytime Fitness Buona Vista,marcus teoh,5,Great equipment,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUMxeXI3akh3EAE
Anytime Fitness Buona Vista,亦弛张,5,Good experience,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUREbjlUMjRBRRAB
Anytime Fitness Buona Vista,marcus tay,5,Nice place…,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNUbGNtU0dnEAE
Anytime Fitness Buona Vista,ryan,5,👍🏻 …,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNUOThia19nRRAB
Anytime Fitness Buona Vista,James (James_ktk),5,Best gym ever,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUR4NjZIbUNBEAE
Anytime Fitness Buona Vista,Anoy Nmous,5,Kind and friendly staff,3 years ago,November 2022,ChZDSUhNMG9nS0VJQ0FnSUMtemRXcEJBEAE
Anytime Fitness Buona Vista,Zheng Xian Soon,5,great place to workout,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURUbzhUeWVBEAE
Anytime Fitness Buona Vista,beep boop,5,nice place nice people,2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSUNKek1PSTV3RRAB
Anytime Fitness Buona Vista,YiChen Ding,5,great,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUMxeXI3MWFnEAE
