outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness City Square Mall,Chloe Ng,5,cozy ambience with clean equipment,a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2sxM2NsRmxOQzFpVTNsSmNHSTRVSFpMZGxwVk9FRRAB
Anytime Fitness City Square Mall,Eka Qashrina,5,The staff are friendly and nice! They provide top tier equipments. Love this branch!,Edited a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURUcjR5NC13RRAB
Anytime Fitness City Square Mall,Kaeden Ong,5,Clean and welcoming gym. Got a gym tour from Nicholas and i must must say the service is fantastic,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURIazZIaXFnRRAB
Anytime Fitness City Square Mall,Alvin Calagos,5,"So far, this is the best gym I've been to. Great amenities, new equipment, and friendly staff.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUMxaHF5aWdBRRAB
Anytime Fitness City Square Mall,jael yap,5,"shoutout Khals and Farah for being so helpful and knowledgeable! Super clean gym and friendly environment, 100% recommended!!",Edited 11 months ago,December 2024,ChZDSUhNMG9nS0VJQ0FnSUNEN1ppdEZREAE
Anytime Fitness City Square Mall,Devaraaj C,5,"Very well maintained, top notch! Highly recommend to sign up at this outlet.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNYXzZxWGlnRRAB
Anytime Fitness City Square Mall,Sean teo8,5,Equipment are clean and in good condition. Friendly staff as well :),7 months ago,April 2025,ChdDSUhNMG9nS0VJQ0FnTURJNTdheHJnRRAB
Anytime Fitness City Square Mall,Dominic Oak,5,Really good environment to workout. And the place is really convenient. The trainers are really friendly too!,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNUM3ZlU3ZBRRAB
Anytime Fitness City Square Mall,Michael G,4,"Brand new, huge. Wide variety of machines and equipment. Staff could be friendlier, e.g. at least make eye contact with patrons when they enter.",Edited a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNkcWFMSThnRRAB
Anytime Fitness City Square Mall,Hagen Ong,5,"Music was amazing,staff was friendly interesting people at the gym also",9 months ago,February 2025,ChZDSUhNMG9nS0VJQ0FnTURBaU5pakpBEAE
Anytime Fitness City Square Mall,Shawn,5,The staff there were very good,5 months ago,June 2025,ChZDSUhNMG9nS0VKcjZ4X3FUcnF1amFREAE
Anytime Fitness City Square Mall,Lorenzo Calonghi,5,"Was lovely meeting Khals, very helpful and professional",7 months ago,April 2025,ChZDSUhNMG9nS0VJQ0FnTURJeDZYRFNnEAE
Anytime Fitness City Square Mall,Clara Tan Shu Rong,5,Clean and convenient! Staffs are very friendly too and try to keep the place neat and tidy. Recommend!,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNUbXVEdUdBEAE
Anytime Fitness City Square Mall,Chathur Gudesa,5,"Cool gym, staff was very welcoming and nice",8 months ago,March 2025,ChZDSUhNMG9nS0VJQ0FnTUNnLXBqX2Z3EAE
Anytime Fitness City Square Mall,ronith. NR,5,"One of the best gym if you are near Farrer Park
High quality equipments",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNuX3BEV3FRRRAB
Anytime Fitness City Square Mall,Felix Maier,4,"The gym is modern and clean. However, it is not large and can be overcrowded during peak hours.",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNqbTZyVklnEAE
Anytime Fitness City Square Mall,Rachael Soh,5,"Quiet, spacious and clean gym with a great playlist! Equipment is new and staff are friendly :)",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNUM3BmX0dnEAE
Anytime Fitness City Square Mall,Mahani Ariffin,5,Great Gym! Excellent facilities & awesome team working here. Will be back 💯 …,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNqak1XMEF3EAE
Anytime Fitness City Square Mall,Rosini,5,"Clean, easy to use facilities, friendly and approachable staff.",8 months ago,March 2025,ChdDSUhNMG9nS0VJQ0FnTUNRMGRyTTlBRRAB
Anytime Fitness City Square Mall,Isaiah Soh,5,Amazing gym! The equipment was top notch and there is so much space! Love this gym 🤩 …,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUMxdUlLdWJBEAE
Anytime Fitness City Square Mall,Ayesha Alim,5,My favourite AF outlet! I love to come here 😁😁 …,8 months ago,March 2025,ChdDSUhNMG9nS0VJQ0FnTUNRekw2YWhRRRAB
Anytime Fitness City Square Mall,Ski,5,"very spacious and good amount of weights and machines, very friendly and helpful staff",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURILV9tcm93RRAB
Anytime Fitness City Square Mall,Jun Wei,5,"One of the better anytime fitness gym in Singapore, spacious and well equiped, friendly staff too",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUN6Z2NLZ1ZBEAE
Anytime Fitness City Square Mall,YIFAN GONG,5,Nice place to have a work out!,3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2tsTmVWZDFiemhuWlRGeU5sTmpla3RqYldoeFQwRRAB
Anytime Fitness City Square Mall,MANDEEP SINGH,4,"Great service, staff is helpful, but it’s crowded in evening, if the area could be expended would be great.",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURIeDdxR1pREAE
Anytime Fitness City Square Mall,Kwan Eu,5,The gym is really clean and conducive. Staff here are really approachable and friendly too!,a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNEa2NPblJBEAE
Anytime Fitness City Square Mall,Felicia Yap,5,"Very clean and various equipment!
All the staffs are always very friendly and helpful!!!!",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUM3dUpYcDJnRRAB
