outlet,author,rating,text,date_posted
Anytime Fitness hillV2,Steve Demers,1,"Let me tell you a story of why you shouldn't use this location at HV2 and I never will again - I'll be telling everyone I know who lives around here too.

I travel a lot and make use of many different gyms abroad .

I've had an Anytime Fitness membership so that I can use their facilities when they are available abroad.  Often there's one nearby, I've never had a bad experience - until this one.

This location is actually near to my home but have never bothered to use it because our condo gym is decent and convenient to use by just walking downstairs.

Recently I decided to check out it though, maybe there's a couple of exercises that can add to my routines that would be beneficial.

After a very short time there I began to see the degradation of this facility.
Machines that seem to be perpetually broken, water fountain that is out of service, washrooms with equipment that just had a sign on them indicating they'll never be repaired, replaced or removed.

It's a bit of a dirty gym too.
There's layers of dirt in the corners from nobody cleaning for long periods.
There's spray bottles on the equipment with little rags to wipe with - but after a few days of seeing the exact same rags not being replaced or cleaned - I could tell that they seldom get changed out.  Several of them are brown from mildew and dirt...gross.

Pretty much every piece of padded equipment is fraying at the stitch seams.

This place may have been in good shape when HV2 opened but it's been maintained poorly.

Notwithstanding all of that I went for a few days because my membership is set to expire at the end of the month and I wanted to decide whether or not to renew again.  If I did then I'd start using this location.

Well...my last visit assisted in making that decision for me!

When attempting to use the cable rack I noticed a badly failed carabiner.  I'm sure you're familiar with them and what they do - also what a failed unit looks like.
This one wasn't returning to the lock position on its own after changing out grips.
This is a horrible accident waiting to happen, if someone uses it and it snaps (which they certainly do) it'll injure that poor soul very badly.

Having seen this before my 30 years of gym training I took off and went to see about getting a new one from the staff - whom the door says are available from 10 am.

I've asked for these to be replaced before at other gyms and they always have them available just in case - they're cheap equipment that is important.  It's good to have spares right?

It was 11 am - there was nobody to be seen.  So I placed the carabiner on the staff door handle.

At 11:18 I noticed a staff member came in.  While he was getting his keys out to unlock the staff office he saw the carabiner and picked it up to look at it.

I went over to explain where it came from and to ask for another one - I'd be happy to place it.

He hands it back to me saying that it's fine to use and that all I have to do is move the lock mechanism over by hand every time.

This was a bit shocking.  He was telling me to just keep using the dangerous failed carabiner!
I insisted that it should not be used and told him that someone could get hurt.  Still he told me it's fine.

I argued that a gym shouldn't have this sort of injury liability in their facility and he finally took it from my hand with a very grumpy look and mumbled something about getting one online.

Asking him how long it will take to be replaced he said with a very annoyed look that he had no idea and that he'll have to find somewhere to ""source"" one.

This was surprising!  Not only did this gym not have one but seemed reluctant to even place it on a priority so that members can continue use the facility fully.

As a joke and a test to see how far this will go I told the now angry looking fellow that ""How about I just buy one with my own money and bring it in then?""

He was quite agreeable to this with a ""okay that sounds good""

I'm not doing that!
Thank you Marcus for helping me decide to not renew my membership.",Date not found
Anytime Fitness hillV2,rosesx caramel,1,"unhelpful management team, heartless and no consideration for members. just money making organisation. never again.",Date not found
Anytime Fitness hillV2,A G,1,"I wonder if it’s the worst outlet of AF. So much equipment always out of order, one of 3 treadmills has been broken for over half a year!!! The music speakers are broken and make muffled noise and yet they blast the music all the time, have to wear earplugs and still can hear that horrible sound. Some members find it fun to throw the weights loudly on the floor, and none of the staff tells them anything",Date not found
Anytime Fitness hillV2,Sahaf Ibrahim,3,"Good enough facilities but it's ultra accessible to folks living around hillv2. They have a lot more cables since the last renovation, but still miss certain machines, the most glaring being the core",Date not found
Anytime Fitness hillV2,Jessica L,1,"I had great experiences at this gym, however, a recent situation happened to me that I had to give it a low 1 star.

So, I forgotten to bring my KeyFOB with me, and usually if it’s during staffed hours, they will manually registered me into the gym, no problem. However, today, they turned me away and said that they have a new “No KeyFOB, No entry” policy. I tried to reason with the staff but he did not give any wiggle room.

I find this completely unreasonable. It’s during staffed hours, it’s a super simple process and you will be doing your customer a huge favour. And don’t you want happy customers? I just don’t understand why can’t this be done.

Besides the adorable cleaning uncle, the management and logic of this gym is questionable and frustrating.

@Hillv2AF’sManagement, please consider lifting this policy at your gym. You’ll be doing us tired gym goers a huge help, when we made the effort to go to your gym and not be turned away. Thanks.",Date not found
Anytime Fitness hillV2,Thanapon Rudeerat,1,"If I could, I’d give this gym 0 stars. The management of this franchise is horrible. They just suck your money up even when you want to cancel your membership. Gym was poorly maintained and always crowded. So crowded to the point there won’t be space to work out. Never coming back to Anytime Fitness.",Date not found
Anytime Fitness hillV2,bharat soni,1,"A few staff members are rude. The gym rules don't apply to the people who have paid for a personal trainer.

I have been a member for more than 2 years, the old staff members were nice and polite. But few of people are very rude.

Most of the times it seems like they are just after your money. Always cutting costs.The basic supplies like paper towel runs out of stock for many days. Equipments will be out of order many days. Few staff members only treat the people who paid for PT nicely. And are rude to others.",Date not found
Anytime Fitness hillV2,Varun Kapila,1,The treadmill has been out of service for more than a month. The gym is already too compact for the amount of people working out and now everyone is also waiting for treadmills. Very limited machines and a lot of members are more interested in making reels and filming workouts than actually working out hence increasing the time of wait.,Date not found
Anytime Fitness hillV2,T Q,1,"Ladies, beware. This is the gym where you will find some of the rudest guys here who occupy gym equipment for more than 1 h (not exercising but just sitting at the side), some slam weights and others intimidate you. The female bathroom is always used by guys and now the gym decided to convert the one and only female toilet into a unisex one, with the male toilet beside it. Covid rules have been relaxed but they still refused to provide mats to users. Wouldn’t it be more unhygienic to lie on the floor?

A self-entitled guy even asked me to move away to another area while I was halfway through a workout, even though I was there first and used only 1 m2 of space. Not sure if he’s one of the staffs. There was a HUGE area where he already occupied with various equipment. He got angry when I ignored him and purposely hurled the weighted ball continuously while standing near me, it was absolutely dangerous and could have hit me. The staffs did nothing to stop him, or any other rude behaviours displayed by some of the members. There is a sense of sexism here in the gym.

I’m definitely going to switch my home gym. 😡",Date not found
Anytime Fitness hillV2,Borislav Georgiev,4,"Excellent gym!

Great location, very clean and pleasant interior, friendly staff. The equipment is new and well maintained. Highly recommended!

Edit: Feb-2022. They must really remove these reservations requirements if you want to go in the morning or late in the evening. What a nonsense. And I still don't understand why they keep asking for your keyfob number every time you enter. Removing 1 star because of these.",Date not found
Anytime Fitness hillV2,Chili Red Arowana,4,"Contrary to the 3.3 stars.. I find this outlet quite large compared to Orchard outlet (the ants nest) and aircon is strong, unlike in some other outlets.. the people are more Atas type, compared to Telok Bangla, over there have tattoo old men punks.. so overall this is better",Date not found
Anytime Fitness hillV2,Abhay Jaykar,3,"Average gym. Pretty crowded. Customer Unfriendly policies if you forget the Key fob.

21/11/2022: Service has definitely improved after interacting with Vanessa from the team. She has been super helpful and prompt in her follow ups.

21/09/2022: Very sad to revise this to one star.
- Had a 1 year fully paid membership which expired. I am happy to renew  but they could not accept the payment as register closed which is fine as it was 8pm ish and I cant use the facility that day even though I have been an advance paying member for a year and expressed the intent to renew.

- Scheduled to make payment on the weekend but activate it on 29th as I am travelling, but corporate policy does not allow that.

- No online payment.

Really struggling to be a loyal member. Lack of other choices within the vicinity.

The review is not meant towards the facilities managers or trainers as they are EXCELLENT, but seemed to be bound to the corporate policies.",Date not found
Anytime Fitness hillV2,Hans Chan,5,"I'm surprised this gym got a streak of bad reviews previously? I think this gym has the most barbell racks I've seen in a AF gym (4 racks and 2 barbell stands on other end, and 2 deadlift platforms. And they have assault bike and concept2 rower as well. Perfect for people into free weight/power lifting/cross trainings. I can't review for machines cuz i don't care about those. Only hope to have is more benches for free weights. Most of the time I literally only see 1 available bench for dumbbell area.

Toilet is clean and 1 for each gender. Really like the convenience of this location as well.",Date not found
Anytime Fitness hillV2,YH,3,"If you want to wear your masks at all times in the gym. Come here.

""WEAR YOUR MASK AT ALL TIME"". I was instructed by the gym trainer in a rather unfriendly tone when I visited there for the first time. Most other gym trainers in other locations were very very friendly. That's fine really, but the wording is wrong. WEAR YOUR MASK WHEN YOU ARE RESTING sounds better and more reasonable. But this is also disputable according to Singapore Covid rules because:

For indoor activities, masks may be taken off when performing strenuous
activity or as part of a class requirement but will have to be put on after the completion of such strenuous sporting and physical activity/class and during rest breaks.

And technically the entire workout session in any gym can be considered a single activity albeit with short breaks in between sets. But that's besides the point.

If you want to wear your masks at all times in the gym and being treated like an army recruit. Come here.",Date not found
Anytime Fitness hillV2,siru chen,5,"The good range of equipment and friendly coaches at this outlet means that although I can technically go to any other outlet (one of the perks of the Anytime Fitness menbership), I hardly ever do.

Only downside is that it gets crowded between 6pm and 9pm, so I really have to time my workout well if I don't want to be waiting for the treadmill or worrying about floor space for my mat workouts/cool downs.",Date not found
