outlet,rating,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative
Anytime Fitness Alexis,4.19,58,40,13,5,7,68.97,22.41,8.62
Anytime Fitness Bishan,4.31,55,37,11,7,10,67.27,20.0,12.73
Anytime Fitness Gambas,4.49,53,40,8,5,3,75.47,15.09,9.43
Anytime Fitness Punggol Waterway,4.79,53,50,1,2,0,94.34,1.89,3.77
Anytime Fitness Sunshine Place,4.65,46,40,4,2,1,86.96,8.7,4.35
Anytime Fitness Hwi Yoh CC,3.33,39,11,12,16,10,28.21,30.77,41.03
Anytime Fitness Geylang,4.59,39,25,12,2,12,64.1,30.77,5.13
Anytime Fitness Rochester,4.79,39,36,2,1,2,92.31,5.13,2.56
Anytime Fitness Clementi 354,4.83,36,27,8,1,8,75.0,22.22,2.78
Anytime Fitness Bukit Merah,4.5,34,25,8,1,8,73.53,23.53,2.94
Anytime Fitness Labrador View,4.87,31,30,1,0,0,96.77,3.23,0.0
Anytime Fitness Bukit Batok Connection,4.78,27,16,10,1,10,59.26,37.04,3.7
Anytime Fitness Hong Kah North CC,4.48,25,19,3,3,3,76.0,12.0,12.0
Anytime Fitness Chong Pang,4.96,25,21,4,0,4,84.0,16.0,0.0
Anytime Fitness Clarke Quay,4.72,25,23,0,2,0,92.0,0.0,8.0
Anytime Fitness The Concourse,3.5,24,15,6,3,2,62.5,25.0,12.5
Anytime Fitness Kebun Baru CC,4.25,24,21,0,3,0,87.5,0.0,12.5
Anytime Fitness - Tengah,4.88,24,22,2,0,2,91.67,8.33,0.0
Anytime Fitness Tampines 487,5.0,21,20,1,0,1,95.24,4.76,0.0
Anytime Fitness Bishan 227,5.0,21,14,7,0,6,66.67,33.33,0.0
Anytime Fitness Kaki Bukit,4.7,20,17,2,1,1,85.0,10.0,5.0
Anytime Fitness NTU,4.0,20,18,0,2,0,90.0,0.0,10.0
Anytime Fitness Upper Changi,4.94,18,16,2,0,1,88.89,11.11,0.0
Anytime Fitness Marsiling MRT,4.72,18,14,3,1,2,77.78,16.67,5.56
Anytime Fitness Guillemard,3.65,17,10,1,6,1,58.82,5.88,35.29
Anytime Fitness Bukit Merah Central,4.0,11,9,0,2,0,81.82,0.0,18.18
Anytime Fitness Dakota,5.0,9,7,2,0,2,77.78,22.22,0.0
Anytime Fitness Jurong,4.33,6,4,1,1,1,66.67,16.67,16.67
Anytime Fitness Bedok 200 North Ave 1,4.17,6,5,1,0,1,83.33,16.67,0.0
Anytime Fitness Joo Chiat,5.0,1,1,0,0,0,100.0,0.0,0.0
Anytime Fitness Yew Tee 614,5.0,1,1,0,0,0,100.0,0.0,0.0
Anytime Fitness 548 Ang Mo Kio,5.0,1,0,1,0,1,0.0,100.0,0.0
