Outlet,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Anytime Fitness Woods Square,Price/Fees,27,0.2823401234567901,62.96,18.52
Anytime Fitness Woods Square,Classes/Programs,17,0.4048352941176471,76.47,5.88
Anytime Fitness Woods Square,Location/Accessibility,46,0.42507282608695646,71.74,6.52
Anytime Fitness Woods Square,Policies/Contract,18,-0.0023972222222222203,38.89,27.78
Anytime Fitness SKH Campus,Overall Experience,148,0.6008846283783784,97.3,1.35
Anytime Fitness SKH Campus,Staff/Service,163,0.6761253680981595,96.93,1.84
Anytime Fitness SKH Campus,Price/Fees,14,0.34971071428571426,71.43,0.0
Anytime Fitness SKH Campus,Policies/Contract,6,0.3825111111111111,83.33,16.67
Anytime Fitness SKH Campus,Facilities,62,0.48253333333333326,82.26,6.45
Anytime Fitness SKH Campus,Location/Accessibility,28,0.502277380952381,89.29,7.14
Anytime Fitness SKH Campus,Equipment,62,0.4735314516129032,83.87,3.23
Anytime Fitness SKH Campus,Crowdedness,27,0.33695740740740737,70.37,3.7
Anytime Fitness SKH Campus,Cleanliness,54,0.6704472222222223,96.3,0.0
Anytime Fitness SKH Campus,Classes/Programs,19,0.4509675438596491,84.21,5.26
Anytime Fitness Sunway Big Box,Facilities,83,0.5478463855421687,83.13,1.2
Anytime Fitness Sunway Big Box,Policies/Contract,14,0.6043142857142857,85.71,7.14
Anytime Fitness Sunway Big Box,Classes/Programs,63,0.4932806878306878,80.95,3.17
Anytime Fitness Sunway Big Box,Overall Experience,126,0.5886760582010584,93.65,1.59
Anytime Fitness Sunway Big Box,Staff/Service,177,0.6330066384180791,96.05,1.13
Anytime Fitness Sunway Big Box,Equipment,51,0.4924393790849673,82.35,7.84
Anytime Fitness Sunway Big Box,Cleanliness,67,0.6516686567164179,97.01,1.49
Anytime Fitness Sunway Big Box,Location/Accessibility,31,0.4564473118279569,74.19,6.45
Anytime Fitness Sunway Big Box,Crowdedness,16,0.472759375,68.75,0.0
Anytime Fitness Sunway Big Box,Price/Fees,8,0.5175875000000001,87.5,0.0
Anytime Fitness Yew Tee Community Club,Staff/Service,66,0.6072804292929292,87.88,6.06
Anytime Fitness Yew Tee Community Club,Equipment,21,0.2799944444444445,57.14,9.52
Anytime Fitness Yew Tee Community Club,Facilities,19,0.5033026315789474,73.68,10.53
Anytime Fitness Yew Tee Community Club,Overall Experience,54,0.6501027777777779,92.59,5.56
Anytime Fitness Yew Tee Community Club,Cleanliness,11,0.5726136363636364,90.91,9.09
Anytime Fitness Yew Tee Community Club,Location/Accessibility,14,0.3158458333333333,64.29,0.0
Anytime Fitness Yew Tee Community Club,Classes/Programs,4,0.5605249999999999,75.0,0.0
Anytime Fitness Yew Tee Community Club,Price/Fees,9,0.2893296296296296,66.67,11.11
Anytime Fitness Yew Tee Community Club,Crowdedness,7,0.1819785714285714,28.57,0.0
Anytime Fitness Yew Tee Community Club,Policies/Contract,4,0.4445125,100.0,0.0
Anytime Fitness Kim Seng CC,Cleanliness,14,0.62135,100.0,0.0
Anytime Fitness Kim Seng CC,Crowdedness,10,0.4401,80.0,0.0
Anytime Fitness Kim Seng CC,Equipment,18,0.5397277777777778,88.89,0.0
Anytime Fitness Kim Seng CC,Policies/Contract,3,0.161,66.67,33.33
Anytime Fitness Kim Seng CC,Location/Accessibility,14,0.49462142857142855,71.43,0.0
Anytime Fitness Kim Seng CC,Overall Experience,24,0.6943350694444445,100.0,0.0
Anytime Fitness Kim Seng CC,Facilities,17,0.4903882352941177,94.12,0.0
Anytime Fitness Kim Seng CC,Staff/Service,39,0.5913098290598291,89.74,5.13
Anytime Fitness Kim Seng CC,Price/Fees,5,0.37304,80.0,20.0
Anytime Fitness Kim Seng CC,Classes/Programs,15,0.5120722222222222,86.67,0.0
Anytime Fitness Ang Mo Kio South,Staff/Service,276,0.6885626811594202,98.55,0.36
Anytime Fitness Ang Mo Kio South,Facilities,90,0.5338666666666666,85.56,5.56
Anytime Fitness Ang Mo Kio South,Overall Experience,156,0.5814393162393162,95.51,3.21
Anytime Fitness Ang Mo Kio South,Cleanliness,111,0.6260333333333333,95.5,3.6
Anytime Fitness Ang Mo Kio South,Equipment,78,0.5124128205128204,84.62,2.56
Anytime Fitness Ang Mo Kio South,Location/Accessibility,36,0.43373611111111104,77.78,2.78
Anytime Fitness Ang Mo Kio South,Price/Fees,23,0.5032913043478261,73.91,0.0
Anytime Fitness Ang Mo Kio South,Classes/Programs,8,0.5487,75.0,0.0
Anytime Fitness Ang Mo Kio South,Crowdedness,18,0.3762972222222222,77.78,5.56
Anytime Fitness Ang Mo Kio South,Policies/Contract,14,0.49589999999999995,78.57,0.0
Anytime Fitness Woodgrove,Crowdedness,9,0.09437222222222222,33.33,11.11
Anytime Fitness Woodgrove,Staff/Service,48,0.5895208333333334,89.58,4.17
Anytime Fitness Woodgrove,Location/Accessibility,11,0.36784090909090905,81.82,9.09
Anytime Fitness Woodgrove,Equipment,25,0.31419933333333333,76.0,8.0
Anytime Fitness Woodgrove,Policies/Contract,5,0.19519999999999998,40.0,40.0
Anytime Fitness Woodgrove,Classes/Programs,10,0.27768333333333334,70.0,0.0
Anytime Fitness Woodgrove,Overall Experience,28,0.5787925595238095,96.43,3.57
Anytime Fitness Woodgrove,Cleanliness,17,0.5973176470588236,100.0,0.0
Anytime Fitness Woodgrove,Facilities,22,0.39258386363636366,77.27,9.09
Anytime Fitness Woodgrove,Price/Fees,4,0.3649583333333333,75.0,0.0
Anytime Fitness Katong,Overall Experience,98,0.5822602040816327,98.98,0.0
Anytime Fitness Katong,Staff/Service,109,0.6783200305810398,95.41,0.92
Anytime Fitness Katong,Cleanliness,75,0.6486962222222222,100.0,0.0
Anytime Fitness Katong,Policies/Contract,12,0.4767666666666666,83.33,0.0
Anytime Fitness Katong,Crowdedness,33,0.3414424242424242,66.67,6.06
Anytime Fitness Katong,Equipment,63,0.44439502645502643,80.95,3.17
Anytime Fitness Katong,Location/Accessibility,35,0.5369714285714285,85.71,2.86
Anytime Fitness Katong,Facilities,76,0.5344337719298246,88.16,0.0
Anytime Fitness Katong,Price/Fees,15,0.35681,73.33,13.33
Anytime Fitness Katong,Classes/Programs,8,0.6090125,87.5,0.0
Anytime Fitness Bugis,Staff/Service,394,0.6764683798646363,94.67,2.54
Anytime Fitness Bugis,Facilities,183,0.5204329690346083,84.15,3.28
Anytime Fitness Bugis,Overall Experience,202,0.5839879537953795,90.59,4.46
Anytime Fitness Bugis,Equipment,138,0.5653598429951692,89.13,2.17
Anytime Fitness Bugis,Policies/Contract,24,0.3688208333333333,70.83,12.5
