Location,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Yishun,Classes/Programs,9,0.36519722222222223,66.67,0.0
Hougang,Staff/Service,114,0.6338226608187134,92.98,5.26
Hougang,Overall Experience,91,0.6608121794871794,94.51,5.49
Hougang,Cleanliness,40,0.43608125,82.5,12.5
Hougang,Facilities,41,0.3878617073170731,75.61,7.32
Hougang,Location/Accessibility,30,0.38611500000000004,73.33,10.0
Hougang,Equipment,48,0.42253611111111117,75.0,10.42
Hougang,Price/Fees,9,0.15984814814814813,55.56,33.33
Hougang,Crowdedness,35,0.13424952380952382,25.71,2.86
Hougang,Classes/Programs,7,0.3799928571428572,71.43,14.29
Hougang,Policies/Contract,6,-0.19788333333333333,0.0,50.0
Colan,Staff/Service,12,0.6500986111111111,100.0,0.0
Colan,Cleanliness,3,0.36145,66.67,0.0
Colan,Equipment,6,0.47822499999999996,83.33,0.0
Colan,Overall Experience,6,0.5654541666666667,83.33,0.0
Colan,Facilities,5,0.45223,100.0,0.0
Bukit Timah,Staff/Service,378,0.6795735802469135,95.24,1.85
Bukit Timah,Equipment,166,0.538857469879518,82.53,6.02
Bukit Timah,Price/Fees,20,0.3785425,70.0,25.0
Bukit Timah,Policies/Contract,12,0.6520333333333332,91.67,0.0
Bukit Timah,Crowdedness,35,0.35024,62.86,5.71
Bukit Timah,Facilities,133,0.5605198120300752,85.71,3.76
Bukit Timah,Overall Experience,180,0.6272068082010581,93.33,1.11
Bukit Timah,Cleanliness,146,0.6451746575342466,94.52,4.79
Bukit Timah,Location/Accessibility,54,0.42310138888888893,72.22,7.41
Bukit Timah,Classes/Programs,10,0.23448000000000002,50.0,10.0
Novena,Staff/Service,54,0.5220381172839507,85.19,12.96
Novena,Cleanliness,29,0.5128798850574714,82.76,10.34
Novena,Price/Fees,13,0.12093076923076923,38.46,23.08
Novena,Policies/Contract,9,0.19345,66.67,11.11
Novena,Overall Experience,24,0.52398125,87.5,12.5
Novena,Equipment,23,0.39074456521739126,73.91,17.39
Novena,Facilities,26,0.5436798076923076,88.46,3.85
Novena,Location/Accessibility,13,0.3953576923076923,69.23,7.69
Novena,Classes/Programs,6,0.53505,83.33,0.0
Novena,Crowdedness,8,0.39663125,75.0,0.0
Brandon,Staff/Service,5,0.6734200000000001,100.0,0.0
Harbourfront,Staff/Service,90,0.5789702407407407,88.89,3.33
Harbourfront,Cleanliness,25,0.47412666666666675,88.0,4.0
Harbourfront,Equipment,50,0.33171599999999996,64.0,12.0
Harbourfront,Facilities,56,0.3890919642857143,75.0,7.14
Harbourfront,Classes/Programs,6,0.40073333333333333,66.67,16.67
Harbourfront,Overall Experience,60,0.5453491666666666,88.33,8.33
Harbourfront,Crowdedness,14,0.21432857142857142,50.0,14.29
Harbourfront,Price/Fees,5,0.34896000000000005,80.0,0.0
Harbourfront,Location/Accessibility,21,0.2846190476190476,47.62,9.52
Harbourfront,Policies/Contract,4,0.567075,100.0,0.0
Hazwan,Staff/Service,4,0.5649458333333334,75.0,0.0
Bishan,Equipment,21,0.4603309523809524,76.19,4.76
Bishan,Crowdedness,14,0.3813142857142857,78.57,14.29
Bishan,Location/Accessibility,16,0.3520875,62.5,6.25
Bishan,Classes/Programs,11,0.26899090909090906,63.64,9.09
Bishan,Staff/Service,28,0.3817223214285714,78.57,21.43
